"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Sanker C.","Sanker, Chelsea (57202129649)","57202129649","How do headphone checks impact perception data?","2023","Laboratory Phonology","14","1","","","","","0","10.16995/labphon.8778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152293065&doi=10.16995%2flabphon.8778&partnerID=40&md5=814034a7c2587164701d58fc14c5633a","Department of Linguistics, Stanford University, Stanford, CA, United States","Sanker C., Department of Linguistics, Stanford University, Stanford, CA, United States","Headphone checks have rapidly become an assumed part of best practices in online perception studies. Do they actually improve our ability to find phonological patterns? This study attempts to replicate several perceptual effects that depend on different aspects of the acoustic signal, testing whether requiring participants to pass two commonly used headphone checks (Huggins pitch perception, Milne et al., 2021; dichotic loudness perception, Woods, Siegel, Traer, & McDermott, 2017) impacts the results or the sample population being used. Participants who pass the Huggins check exhibit a larger effect of spectral tilt on perceived vowel duration, but no other effects were strengthened by either headphone check. Headphone checks actually resulted in a weaker effect of coda voicing on perceived vowel duration. A look at who is excluded by the headphone checks shows that both of them produce exclusions that are imbalanced by participants’ age, gender, education, and geographic region. These imbalanced exclusions have the potential to impact experimental results in a range of ways. Thus, while headphone checks are likely to be valuable for some types of experiments, for others they might have unintended effects, and for many studies they are unlikely to have any substantial effect on the results. © 2023 The Author(s).","","","C. Sanker; Department of Linguistics, Stanford University, Stanford, United States; email: sanker@stanford.edu","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85152293065"
"Reinisch E.; Penney J.","Reinisch, Eva (35751504700); Penney, Joshua (57196452000)","35751504700; 57196452000","The role of vowel length and glottalization in German learners' perception of the English coda stop voicing contrast","2019","Laboratory Phonology","10","1","18","","","","4","10.5334/labphon.176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081211378&doi=10.5334%2flabphon.176&partnerID=40&md5=af79bf8b291d27d761e4959b1fdc5831","Institute of Phonetics and Speech Processing, Ludwig Maximilians University Munich, Germany; Acoustics Research Institute, Austrian Academy of Sciences, Vienna, Austria; Centre for Language Sciences, Department of Linguistics, Macquarie University, Sydney, Australia","Reinisch E., Institute of Phonetics and Speech Processing, Ludwig Maximilians University Munich, Germany, Acoustics Research Institute, Austrian Academy of Sciences, Vienna, Austria; Penney J., Centre for Language Sciences, Department of Linguistics, Macquarie University, Sydney, Australia","In German, the voicing contrast in word-final stops is neutralized towards the voiceless sound. We tested how German learners of English use in perception two phonetic cues to this contrast in English: the duration of the vowel preceding the stop and the partial glottalization of this vowel. While a longer vowel cues the voiced sound of the contrast, glottalization enhances the voiceless sound, which should be 'easy' for learners as word-finally it is the default in German. We asked whether cueing the 'easy' sound would nevertheless affect learners' word identification. Learners categorized two English minimal pairs along vowel duration continua with either a fully modal vowel or the last 25% of the vowel glottalized. Learners gave more voiced-stop responses as vowel duration increased. They also used glottalization by giving fewer voiced-stop responses for the glottalized continua. A second experiment demonstrated that the glottalization was not merely perceived as a change in the vowel+closure duration ratio. When the glottalized portion of the vowels was set to silence learners gave even fewer voiced-stop responses than in the glottalized condition. Results suggest that learners can use a phonetic cue to a second language sound contrast even if it enhances the familiar 'easy' sound. © 2019 The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License (CC-BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. See http://creativecommons.org/licenses/by/4.0/.","Acoustic cues; Glottalization; Second language learning; Speech perception; Word-final stop voicing","","E. Reinisch; Institute of Phonetics and Speech Processing, Ludwig Maximilians University Munich, Germany; email: Eva.Reinisch@oeaw.ac.at","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85081211378"
"McCollum A.G.","McCollum, Adam G. (56722920500)","56722920500","Transparency, locality, and contrast in Uyghur backness harmony","2021","Laboratory Phonology","12","1","10","","","","4","10.5334/LABPHON.239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106893289&doi=10.5334%2fLABPHON.239&partnerID=40&md5=0f823adaf10711f0f719bb74fec87d62","Rutgers University, United States","McCollum A.G., Rutgers University, United States","Theories of vowel harmony have wrestled with the formal challenges of transparency, notably the increased expressivity resulting from non-local dependencies. However, experimental work has demonstrated on a number of occasions that 'transparent' vowels actually undergo harmony (e.g., Gick, Pulleyblank, Campbell, & Mutaka, 2006), re-establishing the role of locality in the analysis of harmony. Existing work on backness harmony in Uyghur argues that /i/ is transparent to harmony, with some proposing that this falls out from the absence of contrastive /w/ in the language (e.g., Vaux, 2000). This paper examines the distribution of surface [i] and [w] within roots and suffixes to assess their phonological status, as well as their participation in harmony. Results support the case that there are no long-distance dependencies in Uyghur, suggesting that harmony is truly local in the language. Results for root-internal [i] and [w] are less clear; evidence from most speakers supports an allophonic relationship, while some evidence for other speakers suggests the possibility of contrastive /i/ and /w/. © 2021 The Author(s).","Contrast; Locality; Transparency; Uyghur; Vowel harmony","","A.G. McCollum; Rutgers University, United States; email: adam.mccollum@rutgers.edu","","Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85106893289"
"Ortín R.; Simonet M.","Ortín, Ramsés (57204952170); Simonet, Miquel (57200661274)","57204952170; 57200661274","Perceptual sensitivity to stress in native English speakers learning Spanish as a second language","2023","Laboratory Phonology","14","1","","","","","0","10.16995/labphon.7978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160110467&doi=10.16995%2flabphon.7978&partnerID=40&md5=79573e2be3f429bc5d23bd67416819af","University of Texas Rio Grande Valley, TX, United States; University of Arizona, Arizona, United States","Ortín R., University of Texas Rio Grande Valley, TX, United States; Simonet M., University of Arizona, Arizona, United States","Second language (L2) learners of Spanish whose first language (L1) is English tend to find Spanish lexical stress patterns difficult to acquire. This study investigates whether such difficulty derives, at least in part, from an obstacle encountered during perceptual processing: reduced perceptual sensitivity to stress distinctions. Participants were adult L1 English L2 Spanish learners of various proficiency levels. The experiment was a categorical matching task with triads of auditory stimuli minimally contrasting in stress (target) or segmental composition (baseline), an ABX task. The results show that learners were more accurate in the baseline condition than in the target condition, suggesting reduced perceptual sensitivity to stress relative to other contrasts. The reduction in accuracy, however, was restricted to trials in which matching items were not adjacent, further suggesting an obstacle with phonological processing in working memory rather than perceptual categorization. The default stress processing routines of L1 English L2 Spanish learners, optimized for their L1 (not their L2), may be responsible for their acquisitional obstacles with this feature of the Spanish language. © 2023 Ubiquity Press. All rights reserved.","","","","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160110467"
"Ronai E.; Sun Y.; Yu A.C.L.; Xiang M.","Ronai, Eszter (57215588289); Sun, Yenan (57215588263); Yu, Alan C.L. (24435926600); Xiang, Ming (24382175400)","57215588289; 57215588263; 24435926600; 24382175400","Integration of contextual-pragmatic and phonetic information in speech perception: An eye-tracking study","2019","Laboratory Phonology","10","1","20","","","","0","10.5334/labphon.186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081233783&doi=10.5334%2flabphon.186&partnerID=40&md5=815b3aa5ffbe741e0b5b704908ca5a1f","Department of Linguistics, University of Chicago, United States","Ronai E., Department of Linguistics, University of Chicago, United States; Sun Y., Department of Linguistics, University of Chicago, United States; Yu A.C.L., Department of Linguistics, University of Chicago, United States; Xiang M., Department of Linguistics, University of Chicago, United States","Pragmatic information, such as inferences regarding upcoming coreference, has been shown to influence phonetic perception (Rohde & Ettlinger, 2012). Pragmatic information, however, comes in many forms. Using a Visual World Paradigm, tracking listeners' categorical responses and the time-course of information integration via eye movements, we investigated whether and how a different kind of pragmatic information, the contrastive function of prenominal adjectives (Sedivy, Tanenhaus, Chambers, & Carlson, 1999), can affect listeners' perception of voicing in initial plosives. Our results suggest that the pragmatic contrast inference did not affect the behavioral judgments on phonetic categorization, but it did have an (albeit limited) influence during the online processing of voice onset time (VOT). Our findings suggest that different kinds of higher-level pragmatic inferences are not uniform in how (successfully) they are integrated with low-level phonetic properties in real-time comprehension. © 2019 The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License (CC-BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. See http://creativecommons.org/licenses/by/4.0/.","Contrastive inference; Cue integration; Eye-tracking; Pragmatics; Speech perception; VOT","","E. Ronai; Department of Linguistics, University of Chicago, United States; email: ronai@uchicago.edu","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85081233783"
"Cheng L.S.P.; Babel M.; Yao Y.","Cheng, Lauretta S.P. (57211876336); Babel, Molly (35193687500); Yao, Yao (54399544000)","57211876336; 35193687500; 54399544000","Production and perception across three Hong Kong Cantonese consonant mergers: Community- and individual-level perspectives","2022","Laboratory Phonology","13","1","14","","","","1","10.16995/labphon.6461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147199714&doi=10.16995%2flabphon.6461&partnerID=40&md5=502304db9eb751d2287fac0dc96aa449","Department of Linguistics, University of Michigan, Ann Arbor, MI, United States; Department of Linguistics, University of British Columbia, Vancouver, BC, Canada; Department of Chinese and Bilingual Studies, The Hong Kong Polytechnic University, Hong Kong","Cheng L.S.P., Department of Linguistics, University of Michigan, Ann Arbor, MI, United States; Babel M., Department of Linguistics, University of British Columbia, Vancouver, BC, Canada; Yao Y., Department of Chinese and Bilingual Studies, The Hong Kong Polytechnic University, Hong Kong","Individual variation is key to understanding phenomena in phonetic variation and change, including the production-perception link. To test the generalizability of this relationship, this study compares community- and individual-level variation across three long-standing consonant mergers in Hong Kong Cantonese speakers: [n]→[l], [ŋ̩]→[m̩], and [ŋ]↔Ø. Concurrently, we document these understudied mergers in a community that has undergone rapid social change in recent decades. Younger (college-aged) and older (middle-aged) Hong Kongers completed a reading production task followed by a forced-choice lexical identification perception task. Group-level results suggest mismatching production and perception: While the community overall distinguished merger pairs in production, younger listeners are more perceptually categorical than older listeners. However, aggregate results obscure the fact that individuals vary substantially in the extent of merging in both perception and production, including many who exhibit complete merger, and that individual-level production-perception correlations were found for [n]→[l] and [ŋ̩]→[m̩], though not [ŋ]↔Ø. Results are discussed in the context of previous research. We find that (i) these mergers have diverged from predicted trajectories of completion, and (ii) overall, prior findings on the production-perception link are generalizable to these consonant mergers. © 2022 Ubiquity Press. All rights reserved.","","","","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85147199714"
"Kilbourn-Ceron O.; Clayards M.; Wagner M.","Kilbourn-Ceron, Oriana (56750137500); Clayards, Meghan (24390461300); Wagner, Michael (57213559204)","56750137500; 24390461300; 57213559204","Predictability modulates pronunciation variants through speech planning effects: A case study on coronal stop realizations","2020","Laboratory Phonology","11","1","1-28","","","","7","10.5334/LABPHON.168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090649426&doi=10.5334%2fLABPHON.168&partnerID=40&md5=27c52237a72f6d3662cc55688d06c238","Department of Linguistics, Northwestern University, Evanston, IL, United States; Department of Linguistics, McGill University, Montréal, QC, Canada; School of Communication Sciences and Disorders, McGill University, Montréal, QC, Canada","Kilbourn-Ceron O., Department of Linguistics, Northwestern University, Evanston, IL, United States; Clayards M., Department of Linguistics, McGill University, Montréal, QC, Canada, School of Communication Sciences and Disorders, McGill University, Montréal, QC, Canada; Wagner M., Department of Linguistics, McGill University, Montréal, QC, Canada","Predictability has been shown to be associated with many dimensions of variation in speech, including durational variation and variable omission of segments. However, the mechanism or mechanisms that underlie these effects are still unclear. This paper presents data on a new aspect of predictability in speech, namely how it affects allophonic variation. We examine two coronal stop allophones in English, flap and glottal stop, and find that their relationship with predictability is quite different from what is expected under current theories of probabilistic reduction in speech. Flapping is more likely when the word that follows is more predictable, but is not influenced by the frequency of the word itself, while glottal stops are more likely in words that are less predictable. We propose that the crucial distinction between these two allophones is how they are conditioned by phonological context. This, we argue, interacts with online speech planning processes and gives rise to variability for context-dependent allophones. This hypothesis offers a specific, testable mechanism for certain predictability effects, and has the potential to extend to other factors that contribute to variability in speech. © 2020 Ubiquity Press. All rights reserved.","Corpus phonology; Phonological variation; Predictability; Speech production planning","","O. Kilbourn-Ceron; Department of Linguistics, Northwestern University, Evanston, United States; email: oriana.kilbourn@gmail.com","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85090649426"
"Seyfarth S.; Garellek M.","Seyfarth, Scott (56270006600); Garellek, Marc (54383004600)","56270006600; 54383004600","Physical and phonological causes of coda /t/ glottalization in the mainstream american english of central Ohio","2020","Laboratory Phonology","11","1","","1","33","32","14","10.5334/LABPHON.213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099953291&doi=10.5334%2fLABPHON.213&partnerID=40&md5=1bc2dbccf12cec23a68bf758f48798cf","Department of Linguistics, Ohio State University, Columbus, OH, United States; Department of Linguistics, University of California, San Diego, La Jolla, CA, United States","Seyfarth S., Department of Linguistics, Ohio State University, Columbus, OH, United States; Garellek M., Department of Linguistics, University of California, San Diego, La Jolla, CA, United States","In American English, a glottal stop is sometimes pronounced in place of an expected syllable coda /t/, and audible glottalization is attested before both /t/ and /p/ in coda position. Following previous work, we claim that the voiceless stops in American English involve a glottal constriction gesture to produce voicelessness in coda position, which contrasts with the glottal spreading gesture used in onset position. If the oral stop closure is not audibly produced, or if the oral and glottal gestures are not aligned, the resulting articulation may be perceived as a glottal stop or as pre-glottalized. This study explores the pre-consonantal phonological environments where coda glottal stops occur in a large corpus of American English speech from central Ohio. Coda /t/ glottalization is found near-categorically before sonorants, often phrase-medially before labial and velar obstruents, often phrase-finally, and occasionally elsewhere. We argue that most of this distribution can be explained by phonetic conditions which either favor reduction of the oral closure, or else reinforce the irregular voicing associated with the glottal constriction gesture. However, the near-categorical rate of glottalization before sonorants, as well as somewhat higher rates for younger and female speakers, may not have a plausible coarticulatory source: These suggest that the process is also phonologically planned under some circumstances. Copyright: © 2020 The Author(s).","English; Glottalization; Phonation; Variation; Voicing","","S. Seyfarth; Department of Linguistics, Ohio State University, Columbus, United States; email: seyfarth.2@osu.edu","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85099953291"
"Im S.; Cole J.; Baumann S.","Im, Suyeon (57203010869); Cole, Jennifer (56305941900); Baumann, Stefan (24066538500)","57203010869; 56305941900; 24066538500","Standing out in context: Prominence in the production and perception of public speech","2023","Laboratory Phonology","14","1","","","","","0","10.16995/labphon.6417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164604460&doi=10.16995%2flabphon.6417&partnerID=40&md5=6e5708807cb8dcf120d21642e7c6c411","Department of English Language and Literature, Soongsil University, South Korea; Department of Linguistics, Northwestern University, Evanston, IL, United States; IfL Phonetik, University of Cologne, Germany","Im S., Department of English Language and Literature, Soongsil University, South Korea; Cole J., Department of Linguistics, Northwestern University, Evanston, IL, United States; Baumann S., IfL Phonetik, University of Cologne, Germany","This study investigates the relationship between signal-based factors and discourse context in the production and perception of prominence, extending prior work on prominence in American English by examining speech from complete TED Talks as examples of a public speech style. First, we conduct a production study. The TED Talk speech samples are analyzed for relationships between (1) phonological pitch accent, (2) acoustic prosodic features, and (3) information structure, modeled here in terms of referential and lexical givenness as well as focus related to semantic alternatives. Second, we conduct a perception study. Word-level prominence ratings obtained from untrained listeners are analyzed for the effects of these (1) phonological, (2) acoustic, and (3) information structural factors. The aim of this study is to evaluate the interaction of the three kinds of factors on prominence ratings with speech that is fully contextualized, allowing for information about the speaker, the situational context, and the discourse context to interact with and possibly mediate signal-based cues to prominence. Results from the production analysis show a weak probabilistic relation between pitch accent assignment and information structure for these TED Talk speakers, but only in the presence versus absence of pitch accent with differences between lexical and referential information status. No systematic relationship is found between a word’s phonological pitch accent type and information structure category, though we do find some evidence of the expected gradient variation in the acoustic expression of prominence: Words that are more informative tend to have higher pitch and a wider pitch range. Despite the weak association between signal-based prominence and information structure in production, listeners perceive and rate prominence in a manner that is, to varying degrees, in accordance with the Accentual Prominence and Givenness hierarchies. In sum, the findings contribute new evidence of the mediating effects of contextual factors relating to the phonological status of pitch accents, information structure, and speech style on the interpretation of acoustic cues to prominence. © 2023 The Author(s).","","","S. Im; Department of English Language and Literature, Soongsil University, South Korea; email: sim@ssu.ac.kr","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164604460"
"Popescu A.; Chitoran I.","Popescu, Anisia (57211821446); Chitoran, Ioana (23023904700)","57211821446; 23023904700","Linking gestural representations to syllable count judgments: A cross-language test","2022","Laboratory Phonology","13","1","","","","","0","10.16995/labphon.7681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147219174&doi=10.16995%2flabphon.7681&partnerID=40&md5=0930fdeeea7acc3ee9c936c70ba45d2c","Department of Linguistics, University of Potsdam, Potsdam, Germany; Department of Linguistics, University of Southern California, Los Angeles, CA, United States; Department of Linguistics, Université Paris Cité, Paris, France; CLILLAC-ARP, France","Popescu A., Department of Linguistics, University of Potsdam, Potsdam, Germany, Department of Linguistics, University of Southern California, Los Angeles, CA, United States; Chitoran I., Department of Linguistics, Université Paris Cité, Paris, France, CLILLAC-ARP, France","A special class of English words with tense vowel/diphthong nuclei and liquid codas receive variable syllable count judgments (one and over-one syllables). Tilsen and Cohn (2016) showed that differences in judgments correlate with differences in production, supporting their hypothesis that meta-phonological judgments and speech motor control share a common representation. In the present study, we further propose that syllable count judgments are related to subsegmental representation in the rime, and are independent of acoustic duration. We test the hypothesis by comparing English and German, chosen for their similar word structures and vowel length contrast, and their crucial difference in the gestural specification of coda liquids. In English, coda liquids have an earlier vocalic gesture relative to the consonantal one, while in German, both gestures are simultaneous. We stipulated that sesquisyllabic (over-one) judgments are related to the count of sequentially-timed vocalic gestures in the rime. The difference in the coda liquid composition between the two languages predicts that sesquisyllables should not emerge in German. Our predictions were confirmed by the results of parallel production (acoustic) and syllable count judgment experiments in English and German. We propose a model accounting for these results, and we discuss its typological implications and its limitations. © 2022 Ubiquity Press. All rights reserved.","","","","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85147219174"
"Orrico R.; D'Imperio M.","Orrico, Riccardo (57219557292); D'Imperio, Mariapaola (6602277900)","57219557292; 6602277900","Individual empathy levels affect gradual intonation-meaning mapping: The case of biased questions in Salerno Italian","2020","Laboratory Phonology","11","1","238","","","","4","10.5334/LABPHON.238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094967962&doi=10.5334%2fLABPHON.238&partnerID=40&md5=6d0df07fdebe028bc421d44fa13ead20","Department of Humanities, University of Salerno, Italy; Aix Marseille University, CNRS, Aix-en-Provence, France; Department of Linguistics and Cognitive Science Center (RuCCS), New Brunswick, NJ, United States","Orrico R., Department of Humanities, University of Salerno, Italy, Aix Marseille University, CNRS, Aix-en-Provence, France; D'Imperio M., Department of Linguistics and Cognitive Science Center (RuCCS), New Brunswick, NJ, United States","The paper investigates the interplay between intonational cues and individual variability in the perceptual assessment of speakers' epistemic bias in Salerno Italian yes-no questions. We present a perception experiment in which we manipulated pitch span within the nuclear configuration (both nuclear accent and boundary tone) to predict degree of perceived positive bias (i.e., expected positive answer) to yes-no question stimuli. Our results show that a wider pitch span within the nuclear region predicts a higher degree of perceived positive bias, while negative bias is predicted by narrow pitch span. Crucially, though, two interacting sources of listener variability were uncovered, i.e., prolonged exposure to a non-native dialect as well as degree of empathy (i.e., Empathy Quotient, EQ). Exposure to non-native phonological systems was found to affect the way pitch span is mapped onto perceived epistemic bias, through category interference, though mediated by EQ levels. Specifically, high-empathy listeners were more affected by degree of non-native dialect exposure. EQ scores were hence found to have an effect on gradual span manipulation by interacting with the dialect exposure effect. These results advance our understanding of the intonation-meaning mapping by taking into account both the impact of gradual phonetic cues on meaning processing as well as uncovering sources of cognitive variability at the perceiver's level. © 2020 Ubiquity Press. All rights reserved.","Dialect contact; Empathy Quotient; Epistemic bias; Pitch span; Question intonation; Salerno Italian","","R. Orrico; Department of Humanities, University of Salerno, Italy; email: rorrico@unisa.it","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85094967962"
"Yan M.; Calhoun S.","Yan, Mengzhu (57208653757); Calhoun, Sasha (25645734100)","57208653757; 25645734100","Rejecting false alternatives in Chinese and English: The interaction of prosody, clefting, and default focus position","2020","Laboratory Phonology","11","1","","","","","6","10.5334/LABPHON.255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096600114&doi=10.5334%2fLABPHON.255&partnerID=40&md5=a596aad0237d1aef43479d66329892a8","School of Foreign Languages, Huazhong University of Science and Technology, China; School of Linguistics and Applied Language Studies, Victoria University of Wellington, New Zealand","Yan M., School of Foreign Languages, Huazhong University of Science and Technology, China, School of Linguistics and Applied Language Studies, Victoria University of Wellington, New Zealand; Calhoun S., School of Linguistics and Applied Language Studies, Victoria University of Wellington, New Zealand","In a discourse, a listener must keep track of information which is presupposed, or established, with the speaker, and that which is new in the common ground. Focus marking helps listeners identify the new information, and reject false alternatives to it; while presupposed information is not expected to be falsified. It is not yet clear, however, what cues listeners use to identify the focus, beyond prosodic prominence; e.g., syntactic clefting or word position, given final objects have been previously found to have a default focus bias, even without overt focus marking. We report two speeded false alternative rejection experiments, in Chinese and English, which looked at how prosodic prominence, clefting, and default focus affect encoding of referents in discourse. It was found that, in both languages, prosodic cues facilitated encoding, though this effect was stronger in Chinese. In both languages, clefting played an inhibitory rather than facilitatory role and there was a clear positional default focus bias. This research establishes cross-linguistic similarities and differences in the role of prosodic prominence, clefting, and phrase position in encoding discourse information in Chinese and English. The results suggest language-specific weighting of these cues. Copyright: © 2020 The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License (CC-BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. See http://creativecommons.org/licenses/by/4.0/.","Chinese; Default focus; English; Focus marking; Processing; Prosodic prominence; Syntactic clefting","","M. Yan; School of Foreign Languages, Huazhong University of Science and Technology, China; email: mengzhu_yan@163.com","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85096600114"
"Bissell M.; Carmichael K.","Bissell, Marie (57670910400); Carmichael, Katie (55813904800)","57670910400; 55813904800","""Dialect B"" on the Mississippi: An acoustic study of /aw/ raising patterns in Greater New Orleans, Louisiana","2022","Laboratory Phonology","13","1","6453","","","","2","10.16995/labphon.6453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129916174&doi=10.16995%2flabphon.6453&partnerID=40&md5=32c2ed66ffbb3fca609ba714cc996b72","Department of Linguistics, The Ohio State University, Columbus, OH, United States; Department of English, Virginia Polytechnic and State University, Blacksburg, VA, United States","Bissell M., Department of Linguistics, The Ohio State University, Columbus, OH, United States; Carmichael K., Department of English, Virginia Polytechnic and State University, Blacksburg, VA, United States","""Dialect B,""a diphthong raising pattern conditioned by a following obstruent's surface voicing, was first observed by Joos (1942) among Canadian schoolchildren. It has rarely been documented for /ai/ (Berkson, Davis, & Strickler, 2017) and has never been documented for /aw/ in any North American English variety. Phonetic /aw/ raising, which has raised nuclei in words like ""out""but not in words like ""loud""or ""outer,""contrasts with more widely documented phonological /aw/ raising, which has raised nuclei in words like ""out""and ""outer""but not in words like ""loud.""In the current study, we examined /aw/ productions from 36 white suburban speakers of Greater New Orleans English, a variety where /aw/ raising before voiceless consonants is a change in progress (Carmichael, 2020b). We classified speakers into three raising patterns: none, phonetic, and phonological. All three raising patterns were present in our data set. This study thus constitutes the first acoustic documentation of a phonetic /aw/ raising pattern produced by a North American English speaker. Additionally, we probe the acoustic implementations of the patterns to analyze phonetic enhancement post-phonologization. These analyses add to descriptions of Greater New Orleans English patterns and build on recent work examining incipient vowel shifts. © 2022 The Author(s).","","","","","Open Library of Humanities","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85129916174"
"Turnbull R.; Seyfarth S.; Hume E.; Jaeger T.F.","Turnbull, Rory (55764295100); Seyfarth, Scott (56270006600); Hume, Elizabeth (57207502981); Jaeger, T. Florian (57156050700)","55764295100; 56270006600; 57207502981; 57156050700","Nasal place assimilation trades off inferrability of both target and trigger words","2020","Laboratory Phonology","9","1","labphon.119","","","","12","10.5334/LABPHON.119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098598997&doi=10.5334%2fLABPHON.119&partnerID=40&md5=3ac5a12e07139bd5fffc9c9fdca33fe2","Department of Linguistics, University of Hawai'I, Manoa, United States; Department of Linguistics, Ohio State University, United States; Department of Linguistics, University of Canterbury, New Zealand; Department of Brain and Cognitive Sciences, University of Rochester, United States; Department of Computer Science, University of Rochester, United States","Turnbull R., Department of Linguistics, University of Hawai'I, Manoa, United States; Seyfarth S., Department of Linguistics, Ohio State University, United States; Hume E., Department of Linguistics, Ohio State University, United States, Department of Linguistics, University of Canterbury, New Zealand; Jaeger T.F., Department of Brain and Cognitive Sciences, University of Rochester, United States, Department of Computer Science, University of Rochester, United States","In English, nasal place assimilation occurs across word boundaries, such as ten bucks pronounced as te[m] bucks. Assimilation can be viewed as a reduction or loss of the assimilation target's place cue (/n/ in ten), and simultaneously as an enhancement of the assimilation trigger's place cue (/b/ in bucks) by spreading its place cue earlier in the signal. A message-oriented phonological approach predicts that assimilation is sensitive to the relative contextual inferrability of both the target and trigger words: More assimilation should be observed for more contextually predictable target words, while less assimilation should be observed for contextually more predictable trigger words. These predictions deviate from accounts that view assimilation solely as reduction. To test these predictions, sequences which license assimilation were extracted from a conversational speech corpus. Both categorical assimilation (based on close phonetic transcription) and gradient acoustic assimilation (based on F2) were analyzed. As predicted, assimilation was more likely both when a target like ten was high in predictability and when its trigger bucks was low in predictability. Assimilation thus serves as both reduction and enhancement, and can be used to manage redundancy in the speech signal. More broadly, this constitutes evidence for the influence of communicative pressures on phonology. © 2018 The Author(s).","Assimilation; English; Message-oriented phonology; Nasals; Predictability","","R. Turnbull; Department of Linguistics, University of Hawai'I, Manoa, United States; email: rory.turnbull@hawaii.edu","","Web Portal Ubiquity Press","18686346","","","","English","Lab. Phonol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85098598997"
